pairing_id,session_id,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28,question29,question30,question31,question32,question33,question34,question35,question36,total_wai_task,total_wai_bond,total_wai_goal,composite_wai
71,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,12,54
73,1,Never,Always,Sometimes,Always,Always,Always,Never,Always,Never,Never,Never,Never,Very Often,Always,Never,Often,Always,Always,Always,Never,Very Often,Always,Always,Always,Very Often,Always,Never,Very Often,Never,Very Often,Never,Always,Never,Sometimes,Always,Always,81,72,76,229
73,2,Very Often,Rarely,Always,Often,Sometimes,Occasionally,Very Often,Often,Often,Often,Often,Sometimes,Occasionally,Sometimes,Often,Never,Always,Very Often,Sometimes,Never,Never,Rarely,Often,Rarely,Never,Sometimes,Very Often,Often,Never,Rarely,Always,Rarely,Always,Always,Never,Always,30,50,28,108
74,1,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Very Often,Never,Very Often,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
74,2,Never,Always,Rarely,Always,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Very Often,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Rarely,Always,Always,84,70,82,236
74,3,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
74,4,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
75,1,Often,Rarely,Very Often,Never,Rarely,Sometimes,Often,Sometimes,Very Often,Often,Very Often,Often,Rarely,Always,Often,Never,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Occasionally,Sometimes,Never,Occasionally,Often,Sometimes,Rarely,Rarely,Always,Rarely,Often,Always,Never,Sometimes,25,42,32,99
75,2,Always,Never,Always,Never,Never,Never,Very Often,Occasionally,Always,Always,Always,Always,Never,Never,Always,Never,Sometimes,Sometimes,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Always,Always,Never,Sometimes,16,29,12,57
76,1,Rarely,Always,Rarely,Very Often,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Always,Always,Never,Always,Always,Very Often,Always,Always,Very Often,Never,Often,Never,Always,Never,Always,Never,Rarely,Always,Very Often,82,69,82,233
76,2,Never,Always,Rarely,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Rarely,Always,Always,84,73,82,239
76,3,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
76,4,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
77,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,18,60
79,1,Never,Always,Rarely,Never,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Very Often,Never,Never,Often,Always,Always,Never,Always,Always,Very Often,Always,Never,Always,Never,Sometimes,Never,Never,Never,Always,Never,Sometimes,Always,Very Often,72,70,67,209
80,1,Often,Never,Rarely,Never,Rarely,Rarely,Rarely,Often,Sometimes,Always,Very Often,Often,Sometimes,Rarely,Sometimes,Never,Often,Very Often,Often,Sometimes,Rarely,Never,Often,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Often,Rarely,Never,Always,33,48,29,110
81,1,Sometimes,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Often,Very Often,Very Often,Often,Often,Rarely,Often,Never,Sometimes,Always,Often,Never,Rarely,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Rarely,Often,Never,Sometimes,Occasionally,Never,Sometimes,36,46,30,112
81,2,Very Often,Never,Sometimes,Never,Never,Rarely,Very Often,Rarely,Always,Always,Always,Very Often,Never,Rarely,Very Often,Never,Occasionally,Sometimes,Rarely,Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Always,Never,Rarely,18,26,18,62
82,1,Often,Never,Often,Never,Rarely,Never,Occasionally,Rarely,Very Often,Always,Very Often,Always,Sometimes,Never,Very Often,Never,Sometimes,Often,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Often,Sometimes,Never,Rarely,28,30,18,76
82,2,Often,Never,Sometimes,Never,Never,Never,Rarely,Sometimes,Very Often,Always,Always,Very Often,Occasionally,Never,Very Often,Never,Occasionally,Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Often,Often,Never,Never,26,30,19,75
83,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,12,54
85,1,Often,Never,Often,Often,Rarely,Rarely,Occasionally,Sometimes,Often,Very Often,Often,Often,Always,Sometimes,Often,Never,Often,Very Often,Occasionally,Rarely,Rarely,Never,Rarely,Never,Never,Rarely,Always,Sometimes,Never,Never,Very Often,Never,Sometimes,Often,Rarely,Often,40,39,25,104
85,2,Very Often,Rarely,Always,Often,Occasionally,Rarely,Sometimes,Rarely,Very Often,Very Often,Often,Often,Occasionally,Rarely,Often,Never,Sometimes,Often,Occasionally,Sometimes,Never,Never,Never,Rarely,Never,Never,Always,Rarely,Never,Never,Always,Never,Often,Very Often,Never,Rarely,33,30,19,82
85,3,Always,Never,Always,Rarely,Never,Never,Sometimes,Never,Always,Always,Always,Very Often,Rarely,Rarely,Very Often,Never,Never,Sometimes,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Very Often,Often,Never,Never,22,18,16,56
86,1,Often,Never,Always,Never,Rarely,Rarely,Rarely,Often,Very Often,Often,Very Often,Very Often,Rarely,Rarely,Often,Never,Very Often,Often,Occasionally,Often,Never,Never,Often,Never,Never,Rarely,Very Often,Rarely,Never,Never,Very Often,Never,Often,Very Often,Never,Always,28,44,20,92
87,1,Often,Never,Always,Never,Never,Never,Often,Occasionally,Very Often,Often,Always,Very Often,Never,Sometimes,Often,Never,Sometimes,Rarely,Occasionally,Sometimes,Never,Never,Never,Never,Never,Never,Often,Never,Sometimes,Never,Always,Never,Very Often,Always,Never,Rarely,18,34,21,73
88,1,Very Often,Never,Always,Never,Never,Rarely,Very Often,Occasionally,Always,Always,Always,Very Often,Never,Never,Often,Never,Rarely,Rarely,Rarely,Often,Never,Never,Rarely,Rarely,Never,Never,Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Rarely,18,27,16,61
89,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,18,30,12,60
91,1,Often,Never,Always,Rarely,Rarely,Occasionally,Often,Sometimes,Very Often,Often,Very Often,Very Often,Never,Always,Often,Never,Very Often,Often,Rarely,Occasionally,Never,Never,Sometimes,Never,Never,Rarely,Often,Rarely,Never,Never,Very Often,Rarely,Very Often,Very Often,Never,Always,24,43,28,95
92,1,Never,Always,Rarely,Very Often,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Very Often,Very Often,Always,Always,Never,Very Often,Always,Always,Always,Always,Very Often,Never,Often,Never,Always,Never,Always,Never,Rarely,Always,Always,82,70,82,234
92,2,Never,Always,Rarely,Very Often,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Always,Very Often,Always,Always,Never,Always,Always,Very Often,Always,Always,Very Often,Never,Very Often,Never,Always,Never,Always,Never,Rarely,Always,Very Often,83,68,82,233
92,3,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Rarely,Always,Always,84,73,83,240
92,4,Never,Always,Rarely,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Rarely,Always,Always,84,72,82,238
93,1,Often,Never,Always,Never,Rarely,Never,Sometimes,Occasionally,Very Often,Always,Always,Very Often,Never,Very Often,Often,Never,Always,Often,Sometimes,Often,Never,Never,Rarely,Rarely,Never,Rarely,Always,Rarely,Never,Never,Very Often,Never,Often,Never,Never,Often,25,39,25,89
94,1,Rarely,Always,Rarely,Very Often,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Very Often,Very Often,Always,Always,Never,Very Often,Always,Very Often,Always,Always,Very Often,Never,Often,Never,Always,Never,Always,Never,Never,Always,Very Often,82,67,83,232
94,2,Rarely,Always,Never,Always,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Very Often,Never,Often,Never,Always,Never,Always,Never,Never,Always,Very Often,84,70,84,238
94,3,Never,Always,Rarely,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Rarely,Always,Always,84,73,82,239
94,4,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Never,Always,Always,84,73,84,241
95,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,18,30,12,60
97,1,Always,Never,Often,Rarely,Never,Never,Sometimes,Never,Always,Always,Always,Always,Rarely,Never,Very Often,Never,Rarely,Always,Never,Sometimes,Never,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Very Often,Always,Never,Never,25,25,14,64
98,1,Often,Never,Rarely,Never,Never,Never,Rarely,Occasionally,Very Often,Always,Very Often,Very Often,Sometimes,Never,Often,Never,Sometimes,Often,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Occasionally,Often,Never,Rarely,32,34,21,87
99,1,Very Often,Never,Always,Never,Never,Never,Often,Occasionally,Always,Always,Always,Always,Rarely,Never,Always,Never,Rarely,Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Always,Never,Rarely,20,28,12,60
100,1,Often,Never,Never,Never,Never,Never,Sometimes,Occasionally,Very Often,Always,Always,Always,Rarely,Never,Always,Never,Occasionally,Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Always,Always,Never,Rarely,21,30,19,70
101,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,12,54
103,1,Occasionally,Never,Always,Rarely,Rarely,Sometimes,Often,Very Often,Often,Very Often,Often,Sometimes,Never,Often,Often,Never,Always,Often,Sometimes,Rarely,Never,Never,Very Often,Never,Never,Rarely,Always,Rarely,Never,Never,Very Often,Rarely,Often,Very Often,Never,Always,26,53,27,106
103,2,Very Often,Never,Always,Never,Never,Rarely,Often,Occasionally,Very Often,Very Often,Always,Very Often,Rarely,Rarely,Often,Never,Sometimes,Very Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Occasionally,Sometimes,Never,Always,Never,Very Often,Often,Never,Occasionally,23,32,19,74
104,1,Often,Never,Always,Never,Never,Rarely,Rarely,Sometimes,Very Often,Very Often,Always,Always,Never,Never,Often,Never,Often,Sometimes,Occasionally,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Always,Never,Always,23,38,15,76
104,2,Always,Never,Always,Never,Never,Never,Often,Rarely,Very Often,Very Often,Always,Always,Rarely,Never,Always,Never,Never,Occasionally,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Very Often,Never,Never,17,19,15,51
105,1,Often,Never,Always,Never,Never,Never,Often,Rarely,Very Often,Occasionally,Always,Always,Never,Never,Often,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Very Often,Never,Sometimes,Never,Always,Never,Often,Always,Never,Sometimes,21,36,18,75
105,2,Always,Never,Always,Never,Never,Never,Occasionally,Never,Always,Often,Always,Always,Never,Never,Very Often,Never,Rarely,Rarely,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Always,Never,Never,19,20,14,53
106,1,Sometimes,Never,Always,Never,Very Often,Never,Rarely,Sometimes,Often,Never,Often,Sometimes,Sometimes,Never,Never,Never,Often,Very Often,Often,Rarely,Never,Never,Sometimes,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Often,Never,Rarely,Always,Rarely,Sometimes,41,53,29,123
106,2,Sometimes,Never,Always,Never,Sometimes,Rarely,Sometimes,Occasionally,Always,Often,Very Often,Often,Occasionally,Never,Sometimes,Never,Sometimes,Sometimes,Often,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,Very Often,Never,Very Often,Rarely,Never,Often,27,44,27,98
107,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,18,30,18,66
109,1,Often,Never,Always,Never,Never,Rarely,Rarely,Occasionally,Very Often,Always,Very Often,Always,Never,Sometimes,Very Often,Never,Sometimes,Always,Rarely,Often,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Rarely,Never,Never,Occasionally,30,31,23,84
109,2,Always,Never,Always,Never,Never,Never,Rarely,Never,Sometimes,Always,Always,Always,Very Often,Never,Always,Never,Rarely,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Sometimes,Always,Never,Always,Never,Always,Rarely,Never,Never,28,28,20,76
110,1,Often,Never,Always,Never,Never,Never,Often,Sometimes,Very Often,Always,Very Often,Always,Never,Rarely,Often,Never,Often,Rarely,Sometimes,Occasionally,Never,Never,Sometimes,Never,Never,Rarely,Always,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Often,19,41,14,74
110,2,Always,Never,Always,Never,Never,Never,Often,Rarely,Always,Always,Always,Always,Never,Never,Always,Never,Occasionally,Sometimes,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Rarely,17,24,18,59
111,1,Often,Never,Always,Never,Rarely,Occasionally,Sometimes,Occasionally,Often,Never,Very Often,Often,Never,Never,Sometimes,Never,Often,Often,Often,Never,Never,Never,Rarely,Occasionally,Never,Rarely,Often,Very Often,Never,Never,Very Often,Never,Often,Rarely,Never,Often,28,38,31,97
111,2,Always,Never,Always,Never,Never,Never,Always,Rarely,Always,Always,Always,Always,Rarely,Never,Always,Never,Sometimes,Rarely,Never,Very Often,Never,Never,Never,Never,Never,Never,Often,Sometimes,Never,Never,Always,Never,Always,Always,Never,Rarely,14,21,14,49
112,1,Often,Never,Always,Never,Rarely,Never,Often,Rarely,Always,Often,Always,Very Often,Never,Never,Very Often,Never,Rarely,Always,Rarely,Sometimes,Never,Never,Never,Never,Never,Never,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Rarely,22,28,16,66
113,1,Always,Never,Always,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Often,Rarely,Never,Never,20,30,23,73
115,1,Very Often,Never,Often,Never,Rarely,Never,Rarely,Never,Rarely,Always,Always,Always,Sometimes,Never,Always,Never,Never,Often,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Very Often,Never,Sometimes,Rarely,Never,Never,28,21,24,73
115,2,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Always,Always,Rarely,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Rarely,Never,Never,Never,30,18,24,72
116,1,Very Often,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Always,Always,Always,Never,Never,Very Often,Never,Rarely,Always,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Always,Often,Never,Rarely,24,26,26,76
117,1,Always,Never,Often,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Always,Never,Never,Never,30,22,26,78
117,2,Very Often,Never,Often,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Often,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Very Often,Often,Never,Never,28,22,22,72
117,3,Very Often,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Very Often,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Always,Never,Never,Never,29,20,30,79
118,1,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Never,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,24,18,30,72
118,2,Always,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Sometimes,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Never,26,18,23,67
119,1,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,18,30,24,72
121,1,Always,Never,Always,Never,Never,Never,Sometimes,Never,Very Often,Always,Always,Always,Always,Never,Always,Never,Rarely,Always,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Very Often,Always,Never,Never,28,22,13,63
122,1,Often,Never,Always,Never,Rarely,Rarely,Often,Sometimes,Very Often,Always,Very Often,Often,Rarely,Never,Often,Never,Sometimes,Sometimes,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Often,22,35,17,74
122,2,Always,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Very Often,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,28,18,29,75
123,1,Often,Never,Often,Never,Rarely,Never,Often,Occasionally,Very Often,Sometimes,Very Often,Very Often,Never,Never,Very Often,Never,Sometimes,Rarely,Occasionally,Sometimes,Never,Never,Rarely,Never,Never,Never,Often,Never,Rarely,Never,Always,Never,Very Often,Always,Never,Sometimes,18,36,21,75
123,2,Always,Never,Often,Never,Never,Never,Very Often,Rarely,Always,Always,Always,Very Often,Never,Never,Very Often,Never,Rarely,Sometimes,Never,Often,Never,Never,Rarely,Never,Never,Never,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Rarely,18,24,16,58
123,3,Very Often,Never,Often,Never,Never,Rarely,Often,Rarely,Always,Very Often,Always,Very Often,Never,Never,Always,Never,Rarely,Sometimes,Never,Often,Never,Never,Never,Never,Never,Never,Very Often,Rarely,Rarely,Never,Always,Never,Very Often,Always,Never,Rarely,18,24,18,60
123,4,Often,Never,Often,Never,Never,Rarely,Very Often,Occasionally,Always,Always,Always,Always,Never,Never,Very Often,Never,Sometimes,Sometimes,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Always,Never,Sometimes,18,32,15,65
124,1,Very Often,Never,Often,Never,Never,Rarely,Sometimes,Never,Always,Always,Always,Very Often,Rarely,Never,Always,Never,Never,Sometimes,Never,Often,Never,Never,Never,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Never,20,20,16,56
124,2,Always,Never,Always,Never,Never,Rarely,Very Often,Never,Always,Always,Always,Always,Rarely,Never,Very Often,Never,Rarely,Sometimes,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Always,Always,Never,Never,18,22,13,53
125,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Never,12,19,12,43
127,1,Very Often,Never,Always,Never,Never,Rarely,Often,Sometimes,Very Often,Always,Always,Always,Never,Sometimes,Very Often,Never,Sometimes,Never,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Sometimes,16,31,17,64
127,2,Always,Never,Always,Never,Never,Never,Rarely,Never,Rarely,Always,Always,Always,Often,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,27,18,23,68
128,1,Always,Never,Always,Never,Never,Never,Very Often,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,13,24,12,49
129,1,Always,Never,Always,Never,Never,Never,Always,Rarely,Always,Always,Always,Always,Never,Rarely,Always,Never,Sometimes,Never,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Rarely,12,25,13,50
130,1,Very Often,Never,Very Often,Never,Never,Rarely,Rarely,Rarely,Always,Very Often,Always,Very Often,Rarely,Occasionally,Often,Never,Sometimes,Very Often,Never,Often,Never,Never,Never,Sometimes,Never,Never,Very Often,Never,Never,Never,Always,Often,Very Often,Always,Never,Rarely,29,26,23,78
131,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,18,60
133,1,Often,Never,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Always,Very Often,Always,Always,Never,Very Often,Never,Occasionally,Always,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Often,Never,Often,Always,Never,Rarely,35,32,23,90
133,2,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Often,Rarely,Always,Often,Sometimes,Very Often,Never,Sometimes,Never,Often,Very Often,Often,Rarely,Rarely,Never,Sometimes,Never,Never,Sometimes,Always,Never,Never,Never,Often,Never,Sometimes,Rarely,Rarely,Often,36,52,33,121
133,3,Sometimes,Never,Never,Never,Rarely,Never,Sometimes,Sometimes,Occasionally,Always,Very Often,Very Often,Sometimes,Never,Always,Never,Often,Sometimes,Sometimes,Rarely,Never,Never,Occasionally,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Often,Often,Never,Sometimes,26,43,25,94
134,1,Sometimes,Never,Never,Never,Occasionally,Rarely,Occasionally,Often,Rarely,Very Often,Very Often,Often,Often,Never,Always,Never,Often,Always,Sometimes,Never,Never,Never,Often,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Sometimes,Often,Never,Often,32,49,29,110
134,2,Often,Never,Never,Never,Rarely,Never,Very Often,Sometimes,Always,Always,Very Often,Very Often,Rarely,Never,Very Often,Never,Often,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Very Often,Never,Often,Always,Never,Often,22,42,19,83
135,1,Rarely,Never,Never,Never,Very Often,Sometimes,Never,Often,Never,Often,Often,Rarely,Always,Never,Often,Never,Often,Always,Always,Never,Rarely,Never,Often,Never,Never,Sometimes,Always,Never,Never,Never,Rarely,Never,Never,Always,Never,Often,45,60,34,139
135,2,Sometimes,Never,Rarely,Never,Rarely,Never,Occasionally,Sometimes,Often,Very Often,Often,Very Often,Always,Never,Often,Never,Often,Very Often,Often,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Sometimes,Rarely,Never,Often,36,46,26,108
136,1,Sometimes,Never,Never,Never,Rarely,Never,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Often,Never,Often,Never,Often,Often,Often,Rarely,Never,Never,Often,Never,Never,Occasionally,Always,Never,Never,Never,Often,Never,Often,Sometimes,Never,Often,30,49,26,105
136,2,Often,Never,Never,Never,Never,Never,Occasionally,Sometimes,Always,Always,Always,Always,Sometimes,Never,Always,Never,Rarely,Often,Occasionally,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Often,Always,Never,Rarely,25,30,18,73
137,1,Always,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Never,Always,Never,Never,24,30,18,72
139,1,Sometimes,Never,Always,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Often,Very Often,Rarely,Sometimes,Never,Never,Often,Often,Very Often,Sometimes,Never,Never,Sometimes,Rarely,Never,Rarely,Often,Sometimes,Never,Never,Very Often,Never,Often,Always,Never,Very Often,32,43,23,98
140,1,Often,Never,Very Often,Never,Never,Rarely,Very Often,Sometimes,Always,Often,Always,Very Often,Rarely,Rarely,Often,Never,Often,Never,Occasionally,Never,Never,Never,Sometimes,Never,Never,Rarely,Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Often,17,43,20,80
141,1,Often,Never,Very Often,Never,Rarely,Rarely,Often,Sometimes,Very Often,Often,Often,Often,Rarely,Rarely,Often,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Often,Rarely,Never,Never,Very Often,Rarely,Often,Very Often,Never,Sometimes,25,42,24,91
141,2,Always,Never,Always,Never,Never,Rarely,Always,Rarely,Always,Always,Always,Always,Never,Never,Always,Never,Sometimes,Sometimes,Rarely,Very Often,Never,Never,Never,Never,Never,Never,Always,Rarely,Rarely,Never,Always,Never,Always,Always,Never,Rarely,15,25,13,53
